Date,Price
112/01/03,99.1
112/01/04,98.1
112/01/05,98
112/01/06,98.4
112/01/09,99.1
112/01/10,99.4
112/01/11,99.1
112/01/12,98.6
112/01/13,98.6
112/01/16,98.1
112/01/17,98.1
112/01/30,98.1
112/01/31,99.7
112/02/01,100
112/02/02,100
112/02/03,99.6
112/02/06,101.5
112/02/07,100.5
112/02/08,100.5
112/02/09,101
112/02/10,101.5
112/02/13,101
112/02/14,102
112/02/15,102.5
112/02/16,103.5
112/02/17,103.5
112/02/20,103
112/02/21,102.5
112/02/22,102
112/02/23,103
112/02/24,101
112/03/01,102
112/03/02,102.5
112/03/03,102.5
112/03/06,103.5
112/03/07,105
112/03/08,104
112/03/09,102.5
112/03/10,102
112/03/13,103
112/03/14,102
112/03/15,102.5
112/03/16,102
112/03/17,103.5
112/03/20,102.5
112/03/21,103.5
112/03/22,103.5
112/03/23,103.5
112/03/24,105.5
112/03/27,103.5
112/03/28,103
112/03/29,103.5
112/03/30,104.5
112/03/31,104
112/04/06,103.5
112/04/07,103
112/04/10,103
112/04/11,103.5
112/04/12,102.5
112/04/13,103
112/04/14,104.5
112/04/17,104
112/04/18,104.5
112/04/19,104
112/04/20,104.5
112/04/21,104
112/04/24,103.5
112/04/25,103
112/04/26,103.5
112/04/27,103.5
112/04/28,104.5
112/05/02,106
112/05/03,105.5
112/05/04,105
112/05/05,105
112/05/08,105
112/05/09,106.5
112/05/10,106.5
112/05/11,105
112/05/12,102.5
112/05/15,102
112/05/16,102
112/05/17,102.5
112/05/18,103
112/05/19,103
112/05/22,103
112/05/23,102.5
112/05/24,103
112/05/25,102.5
112/05/26,102.5
112/05/29,105.5
112/05/30,107
112/05/31,106.5
112/06/01,108
112/06/02,108
112/06/05,107.5
112/06/06,107
112/06/07,108
112/06/08,107
112/06/09,108
112/06/12,110.5
112/06/13,112.5
112/06/14,112.5
112/06/15,111.5
112/06/16,111
112/06/19,112.5
112/06/20,112.5
112/06/21,113
112/06/26,115.5
112/06/27,114
112/06/28,115
112/06/29,113
112/06/30,113
112/07/03,115
112/07/04,110
112/07/05,108.5
112/07/06,105.5
112/07/07,105.5
112/07/10,104.5
112/07/11,105
112/07/12,107.5
112/07/13,107
112/07/14,109.5
112/07/17,110.5
112/07/18,112
112/07/19,108.5
112/07/20,108
112/07/21,107.5
112/07/24,108
112/07/25,112
112/07/26,111.5
112/07/27,110.5
112/07/28,109.5
112/07/31,108.5
112/08/01,110.5
112/08/02,108
112/08/04,111
112/08/07,109.5
112/08/08,110.5
112/08/09,110.5
112/08/10,110
112/08/11,108.5
112/08/14,110
112/08/15,107
112/08/16,105.5
112/08/17,106.5
112/08/18,106
112/08/21,106
112/08/22,106.5
112/08/23,106.5
112/08/24,109.5
112/08/25,108
112/08/28,108
112/08/29,106
112/08/30,106
112/08/31,106.5
112/09/01,107.5
